Make,proportion
CAMERON,9.006372008195799e-05
AEROSTAR INTERNATIONAL,9.006372008195799e-05
American Champion Aircraft,9.006372008195799e-05
Nihon,9.006372008195799e-05
PIAGGIO,9.006372008195799e-05
Hawker Beechcraft,9.006372008195799e-05
Gray,9.006372008195799e-05
PILATUS AIRCRAFT LTD,9.006372008195799e-05
BALLOON WORKS,9.006372008195799e-05
BOEING COMPANY,9.006372008195799e-05
Bailey,9.006372008195799e-05
TEMCO,9.006372008195799e-05
Rose,9.006372008195799e-05
ISRAEL AIRCRAFT INDUSTRIES,9.006372008195799e-05
AVIAT INC,9.006372008195799e-05
PIPER AIRCRAFT CORPORATION,9.006372008195799e-05
Dehavilland,9.006372008195799e-05
Aero Vodochody,9.006372008195799e-05
Varieze,9.006372008195799e-05
Pietenpol,9.006372008195799e-05
Chance Vought,9.006372008195799e-05
Murphy,9.006372008195799e-05
Wheeler,9.006372008195799e-05
Thompson,9.006372008195799e-05
WACO CLASSIC AIRCRAFT,7.880575507171323e-05
Zenith,7.880575507171323e-05
Aerostar International,7.880575507171323e-05
Slingsby,7.880575507171323e-05
Fisher,7.880575507171323e-05
Pezetel,7.880575507171323e-05
Extra,7.880575507171323e-05
Robertson,7.880575507171323e-05
UNIVERSAL STINSON,7.880575507171323e-05
Teratorn,7.880575507171323e-05
MEYERS,7.880575507171323e-05
LANCAIR COMPANY,7.880575507171323e-05
Pioneer,7.880575507171323e-05
ENSTROM HELICOPTER CORP,7.880575507171323e-05
SHORT BROS,7.880575507171323e-05
Quad City,7.880575507171323e-05
Wood,7.880575507171323e-05
HAWKER,7.880575507171323e-05
Travel Air,7.880575507171323e-05
Schreder,7.880575507171323e-05
Pzl,7.880575507171323e-05
AGUSTA SPA,7.880575507171323e-05
RYAN AERONAUTICAL,7.880575507171323e-05
Rand,7.880575507171323e-05
Parsons,7.880575507171323e-05
Brantly,7.880575507171323e-05
Moore,7.880575507171323e-05
Hunter,7.880575507171323e-05
Government Aircraft Fact (gaf),7.880575507171323e-05
American Legend,7.880575507171323e-05
Thomas,7.880575507171323e-05
KOLB,7.880575507171323e-05
WEATHERLY,7.880575507171323e-05
