Longitude,proportion
0082928W,0.0001163704070054985
-81.401111,0.0001163704070054985
0924050W,0.0001163704070054985
0852038W,0.0001163704070054985
0080910W,0.0001163704070054985
0158413W,0.0001163704070054985
0095595W,0.0001163704070054985
1142916W,0.0001163704070054985
0732448W,0.0001163704070054985
-80.416667,0.0001163704070054985
-162.598611,0.0001163704070054985
0835744W,0.0001163704070054985
1184456W,0.0001163704070054985
-82.1775,0.0001163704070054985
0931237W,0.0001163704070054985
0084537W,0.0001163704070054985
0885456W,0.0001163704070054985
0087516W,0.0001163704070054985
0942049W,0.0001163704070054985
-117.189722,0.0001163704070054985
-117.280278,0.0001163704070054985
1203737W,0.0001163704070054985
-77.449166,0.0001163704070054985
-90.508333,0.0001163704070054985
0812740W,0.0001163704070054985
0915652W,0.0001163704070054985
0130410W,0.0001163704070054985
0973849W,0.0001163704070054985
0973359W,0.0001163704070054985
0861740W,0.0001163704070054985
0952029W,0.0001163704070054985
0811832W,0.0001163704070054985
0865516W,0.0001163704070054985
0814511W,0.0001163704070054985
0119328W,0.0001163704070054985
1164911W,0.0001163704070054985
-82.155833,0.0001163704070054985
0743554W,0.0001163704070054985
0823316W,0.0001163704070054985
0823722W,0.0001163704070054985
-81.805833,0.0001163704070054985
0116385W,0.0001163704070054985
0963520W,0.0001163704070054985
0075726W,0.0001163704070054985
0825138W,0.0001163704070054985
0784356W,0.0001163704070054985
0774238W,0.0001163704070054985
0971316W,0.0001163704070054985
0120645W,0.0001163704070054985
0861457W,0.0001163704070054985
-81.4325,0.0001163704070054985
-151.183333,0.0001163704070054985
0971153W,0.0001163704070054985
0097398W,0.0001163704070054985
1043215W,0.0001163704070054985
-84.433056,0.0001163704070054985
0705022W,0.0001163704070054985
0112042W,0.0001163704070054985
-73.778889,0.0001163704070054985
0752626W,0.0001163704070054985
0981411W,0.0001163704070054985
1124742W,0.0001163704070054985
0732856W,0.0001163704070054985
1171921W,0.0001163704070054985
-81.888055,0.0001163704070054985
1043759W,0.0001163704070054985
0121498W,0.0001163704070054985
0903027W,0.0001163704070054985
0117245W,0.0001163704070054985
0081457W,0.0001163704070054985
1164029W,0.0001163704070054985
0096516W,0.0001163704070054985
-98.238611,0.0001163704070054985
1063620W,0.0001163704070054985
1181422W,0.0001163704070054985
1182429W,0.0001163704070054985
-147.85,0.0001163704070054985
0123810W,0.0001163704070054985
1115212W,0.0001163704070054985
1062235W,0.0001163704070054985
0814413W,0.0001163704070054985
0116388W,0.0001163704070054985
1225438W,0.0001163704070054985
1182923W,0.0001163704070054985
0835745W,0.0001163704070054985
0943534W,0.0001163704070054985
0120813W,0.0001163704070054985
0862626W,0.0001163704070054985
0752918W,0.0001163704070054985
-87.529445,0.0001163704070054985
0080750W,0.0001163704070054985
0735221W,0.0001163704070054985
-114.605833,0.0001163704070054985
0109355W,0.0001163704070054985
-106.704722,0.0001163704070054985
0012269W,0.0001163704070054985
-95.783333,0.0001163704070054985
0071308W,0.0001163704070054985
0875417W,0.0001163704070054985
-86.616667,0.0001163704070054985
0841811W,0.0001163704070054985
1064212W,0.0001163704070054985
0852725W,0.0001163704070054985
0845621W,0.0001163704070054985
-122.158889,0.0001163704070054985
-116.101389,0.0001163704070054985
-80.686944,0.0001163704070054985
-108.628056,0.0001163704070054985
-96.112222,0.0001163704070054985
0775033W,0.0001163704070054985
-79.782778,0.0001163704070054985
-122,0.0001163704070054985
0081245W,0.0001163704070054985
0122613W,0.0001163704070054985
-83.767223,0.0001163704070054985
0096433W,0.0001163704070054985
