Latitude,proportion
43.564444,0.00014542493165028213
364114N,0.00014542493165028213
341524N,0.00014542493165028213
352248N,0.00014542493165028213
412328N,0.00014542493165028213
323059N,0.00014542493165028213
325552N,0.00014542493165028213
342534N,0.00014542493165028213
043228N,0.00014542493165028213
037350N,0.00014542493165028213
483238N,0.00014542493165028213
030343N,0.00014542493165028213
033174N,0.00014542493165028213
403823N,0.00014542493165028213
291048N,0.00014542493165028213
325736N,0.00014542493165028213
302011N,0.00014542493165028213
32.8,0.00014542493165028213
041244N,0.00014542493165028213
314826N,0.00014542493165028213
431210N,0.00014542493165028213
345856N,0.00014542493165028213
32.931111,0.00014542493165028213
032454N,0.00014542493165028213
385645N,0.00014542493165028213
625710N,0.00014542493165028213
323439N,0.00014542493165028213
35.433611,0.00014542493165028213
33.564722,0.00014542493165028213
323633N,0.00014542493165028213
452542N,0.00014542493165028213
274848N,0.00014542493165028213
40.354167,0.00014542493165028213
272723N,0.00014542493165028213
048314N,0.00014542493165028213
039473N,0.00014542493165028213
403128N,0.00014542493165028213
42.666667,0.00014542493165028213
383045N,0.00014542493165028213
335526N,0.00014542493165028213
037755N,0.00014542493165028213
341250N,0.00014542493165028213
422738N,0.00014542493165028213
444939N,0.00014542493165028213
033280N,0.00014542493165028213
040026N,0.00014542493165028213
036223N,0.00014542493165028213
392957N,0.00014542493165028213
355750N,0.00014542493165028213
482814N,0.00014542493165028213
404711N,0.00014542493165028213
039837N,0.00014542493165028213
391327N,0.00014542493165028213
029449N,0.00014542493165028213
425354N,0.00014542493165028213
182724N,0.00014542493165028213
402615N,0.00014542493165028213
374942N,0.00014542493165028213
004500N,0.00014542493165028213
465514N,0.00014542493165028213
644854N,0.00014542493165028213
038358N,0.00014542493165028213
593844N,0.00014542493165028213
040150N,0.00014542493165028213
351414N,0.00014542493165028213
37.618889,0.00014542493165028213
384820N,0.00014542493165028213
39.683333,0.00014542493165028213
402220N,0.00014542493165028213
047164N,0.00014542493165028213
445319N,0.00014542493165028213
39.367778,0.00014542493165028213
38.257778,0.00014542493165028213
38.954722,0.00014542493165028213
37.701111,0.00014542493165028213
32.572223,0.00014542493165028213
38.289166,0.00014542493165028213
352610N,0.00014542493165028213
363946N,0.00014542493165028213
381528N,0.00014542493165028213
036222N,0.00014542493165028213
33.433333,0.00014542493165028213
003196N,0.00014542493165028213
64.813889,0.00014542493165028213
39.942777,0.00014542493165028213
035240N,0.00014542493165028213
26.845277,0.00014542493165028213
035527N,0.00014542493165028213
34.263611,0.00014542493165028213
38.944444,0.00014542493165028213
29.533611,0.00014542493165028213
038320N,0.00014542493165028213
21.318611,0.00014542493165028213
34.200833,0.00014542493165028213
26.920278,0.00014542493165028213
263535N,0.00014542493165028213
385433N,0.00014542493165028213
28.545555,0.00014542493165028213
029321N,0.00014542493165028213
271535N,0.00014542493165028213
62.320556,0.00014542493165028213
38.830834,0.00014542493165028213
040036N,0.00014542493165028213
003159N,0.00014542493165028213
29.69,0.00014542493165028213
273920N,0.00014542493165028213
040510N,0.00014542493165028213
037378N,0.00014542493165028213
034057N,0.00014542493165028213
40.617223,0.00014542493165028213
304420N,0.00014542493165028213
34.6575,0.00014542493165028213
39.871945,0.00014542493165028213
64.813611,0.00014542493165028213
36.893333,0.00014542493165028213
026421N,0.00014542493165028213
33.626945,0.00014542493165028213
423956N,0.00014542493165028213
039723N,0.00014542493165028213
383920N,0.00014542493165028213
33.128334,0.00014542493165028213
29.467223,0.00014542493165028213
40.639722,0.00014542493165028213
28.514722,0.00014542493165028213
41.971389,0.00014542493165028213
41.535,0.00014542493165028213
36.08,0.00014542493165028213
034723N,0.00014542493165028213
64.815278,0.00014542493165028213
333722N,0.00014542493165028213
040218N,0.00014542493165028213
271054N,0.0001163399453202257
043593N,0.0001163399453202257
441514N,0.0001163399453202257
034641N,0.0001163399453202257
34.259722,0.0001163399453202257
301722N,0.0001163399453202257
403951N,0.0001163399453202257
035214N,0.0001163399453202257
033221N,0.0001163399453202257
25.647777,0.0001163399453202257
33.833333,0.0001163399453202257
25.848611,0.0001163399453202257
385055N,0.0001163399453202257
032224N,0.0001163399453202257
35.616667,0.0001163399453202257
381247N,0.0001163399453202257
415432N,0.0001163399453202257
29.521111,0.0001163399453202257
383414N,0.0001163399453202257
33.039166,0.0001163399453202257
315633N,0.0001163399453202257
41.690277,0.0001163399453202257
44.116667,0.0001163399453202257
33.897777,0.0001163399453202257
35.666667,0.0001163399453202257
42.584166,0.0001163399453202257
293616N,0.0001163399453202257
413735N,0.0001163399453202257
37.883333,0.0001163399453202257
41.344166,0.0001163399453202257
34.265278,0.0001163399453202257
335351N,0.0001163399453202257
384317N,0.0001163399453202257
44.926111,0.0001163399453202257
29.066945,0.0001163399453202257
040513N,0.0001163399453202257
60.8,0.0001163399453202257
41.425556,0.0001163399453202257
284636N,0.0001163399453202257
38.266667,0.0001163399453202257
434611N,0.0001163399453202257
39.566667,0.0001163399453202257
393056N,0.0001163399453202257
037385N,0.0001163399453202257
433014N,0.0001163399453202257
45.703056,0.0001163399453202257
035372N,0.0001163399453202257
384518N,0.0001163399453202257
31.515556,0.0001163399453202257
40.574723,0.0001163399453202257
37.65,0.0001163399453202257
35.672778,0.0001163399453202257
375142N,0.0001163399453202257
44.094722,0.0001163399453202257
34.209722,0.0001163399453202257
29.976667,0.0001163399453202257
33.675556,0.0001163399453202257
433352N,0.0001163399453202257
038331N,0.0001163399453202257
035323N,0.0001163399453202257
28.347222,0.0001163399453202257
60.779723,0.0001163399453202257
28.867223,0.0001163399453202257
39.934166,0.0001163399453202257
34.583333,0.0001163399453202257
325737N,0.0001163399453202257
40.961667,0.0001163399453202257
39.5,0.0001163399453202257
18.456667,0.0001163399453202257
364634N,0.0001163399453202257
040829N,0.0001163399453202257
41.509722,0.0001163399453202257
394951N,0.0001163399453202257
033210N,0.0001163399453202257
28,0.0001163399453202257
485027N,0.0001163399453202257
253852N,0.0001163399453202257
34.083333,0.0001163399453202257
40.141389,0.0001163399453202257
351250N,0.0001163399453202257
30.6375,0.0001163399453202257
422855N,0.0001163399453202257
344427N,0.0001163399453202257
383022N,0.0001163399453202257
032490N,0.0001163399453202257
425519N,0.0001163399453202257
37.894166,0.0001163399453202257
041313N,0.0001163399453202257
041326N,0.0001163399453202257
040293N,0.0001163399453202257
43.35,0.0001163399453202257
322738N,0.0001163399453202257
325916N,0.0001163399453202257
293116N,0.0001163399453202257
342237N,0.0001163399453202257
040529N,0.0001163399453202257
30.277778,0.0001163399453202257
038837N,0.0001163399453202257
042130N,0.0001163399453202257
354022N,0.0001163399453202257
421245N,0.0001163399453202257
004190N,0.0001163399453202257
035261N,0.0001163399453202257
351249N,0.0001163399453202257
39.246666,0.0001163399453202257
047831N,0.0001163399453202257
374122N,0.0001163399453202257
030419N,0.0001163399453202257
443740N,0.0001163399453202257
555513N,0.0001163399453202257
395924N,0.0001163399453202257
045412N,0.0001163399453202257
38.083333,0.0001163399453202257
445450N,0.0001163399453202257
47.448889,0.0001163399453202257
039552N,0.0001163399453202257
424640N,0.0001163399453202257
41.907778,0.0001163399453202257
454639N,0.0001163399453202257
402357N,0.0001163399453202257
34.633333,0.0001163399453202257
003500N,0.0001163399453202257
42.05,0.0001163399453202257
36.741111,0.0001163399453202257
41.131389,0.0001163399453202257
322619N,0.0001163399453202257
365919N,0.0001163399453202257
27.456389,0.0001163399453202257
301124N,0.0001163399453202257
28.7775,0.0001163399453202257
034416N,0.0001163399453202257
293826N,0.0001163399453202257
039612N,0.0001163399453202257
343342N,0.0001163399453202257
41.196111,0.0001163399453202257
40.451667,0.0001163399453202257
41.2,0.0001163399453202257
334454N,0.0001163399453202257
335322N,0.0001163399453202257
392956N,0.0001163399453202257
34.146944,0.0001163399453202257
38.976389,0.0001163399453202257
382025N,0.0001163399453202257
463625N,0.0001163399453202257
344348N,0.0001163399453202257
41.351944,0.0001163399453202257
33.636666,0.0001163399453202257
404635N,0.0001163399453202257
047165N,0.0001163399453202257
333748N,0.0001163399453202257
034116N,0.0001163399453202257
032580N,0.0001163399453202257
040274N,0.0001163399453202257
333350N,0.0001163399453202257
392432N,0.0001163399453202257
325718N,0.0001163399453202257
301640N,0.0001163399453202257
343431N,0.0001163399453202257
32.656389,0.0001163399453202257
35.145,0.0001163399453202257
372223N,0.0001163399453202257
29.08,0.0001163399453202257
42.665278,0.0001163399453202257
47.383333,0.0001163399453202257
044469N,0.0001163399453202257
034540N,0.0001163399453202257
254743N,0.0001163399453202257
282029N,0.0001163399453202257
043823N,0.0001163399453202257
41.685277,0.0001163399453202257
393520N,0.0001163399453202257
272951N,0.0001163399453202257
38.724167,0.0001163399453202257
043145N,0.0001163399453202257
21.307222,0.0001163399453202257
041435N,0.0001163399453202257
035558N,0.0001163399453202257
35.233333,0.0001163399453202257
030240N,0.0001163399453202257
424650N,0.0001163399453202257
041142N,0.0001163399453202257
345053N,0.0001163399453202257
034543N,0.0001163399453202257
475158N,0.0001163399453202257
403645N,0.0001163399453202257
34.123056,0.0001163399453202257
61.18,0.0001163399453202257
35.972778,0.0001163399453202257
42.795833,0.0001163399453202257
040221N,0.0001163399453202257
38.526667,0.0001163399453202257
29.080278,0.0001163399453202257
33.89,0.0001163399453202257
039197N,0.0001163399453202257
35.138611,0.0001163399453202257
323035N,0.0001163399453202257
411629N,0.0001163399453202257
35.616945,0.0001163399453202257
323811N,0.0001163399453202257
