Model,proportion
PA-28-150,0.00024775611788686554
150B,0.00024775611788686554
BE-23,0.00024775611788686554
206A,0.00024775611788686554
SA315B,0.00024775611788686554
112TC,0.00024775611788686554
LAKE LA-4-200,0.00024775611788686554
190,0.00024775611788686554
S-1B2,0.00024775611788686554
CHALLENGER,0.00024775611788686554
RANS S-12,0.0002364944761647353
150A,0.0002364944761647353
BE-55,0.0002364944761647353
757-222,0.0002364944761647353
AA1B,0.0002364944761647353
IS-28B2,0.0002364944761647353
PZL-M-18,0.0002364944761647353
B8M,0.0002364944761647353
BLANIK L-13,0.0002364944761647353
AT802,0.0002364944761647353
401A,0.0002364944761647353
SGS-2-33A,0.0002364944761647353
QUICKIE Q2,0.0002364944761647353
690B,0.0002364944761647353
BD-4,0.0002364944761647353
KITFOX IV,0.0002364944761647353
RAF 2000,0.0002364944761647353
C90A,0.0002364944761647353
AS350B,0.0002364944761647353
G103,0.0002364944761647353
UH-12C,0.0002364944761647353
EMB-145LR,0.0002364944761647353
402A,0.0002364944761647353
757-200,0.0002364944761647353
PA-24-400,0.00022523283444260503
PA 28-161,0.00022523283444260503
G36,0.00022523283444260503
PA-60,0.00022523283444260503
175B,0.00022523283444260503
AS350D,0.00022523283444260503
AS350B3,0.00022523283444260503
UH-12D,0.00022523283444260503
AT 502,0.00022523283444260503
M20D,0.00022523283444260503
100-180,0.00022523283444260503
KITFOX III,0.00022523283444260503
300C,0.00022523283444260503
201C,0.00022523283444260503
690,0.00022523283444260503
180G,0.00022523283444260503
GLASAIR,0.00022523283444260503
DCO-65,0.00022523283444260503
MONI,0.00022523283444260503
R-22 Beta,0.00022523283444260503
717-200,0.00022523283444260503
Kitfox,0.00022523283444260503
M-4,0.00022523283444260503
500D,0.00022523283444260503
D95A,0.00022523283444260503
500S,0.00022523283444260503
B-8M,0.00022523283444260503
BE-35,0.00022523283444260503
19A,0.00022523283444260503
19,0.00022523283444260503
A321,0.00022523283444260503
415-D,0.00021397119272047478
PA-46,0.00021397119272047478
Kitfox IV,0.00021397119272047478
222,0.00021397119272047478
206BIII,0.00021397119272047478
680,0.00021397119272047478
ERJ190,0.00021397119272047478
E55,0.00021397119272047478
737-7H4,0.00021397119272047478
7DC,0.00021397119272047478
AT 502B,0.00021397119272047478
58TC,0.00021397119272047478
TIERRA II,0.00021397119272047478
R22A,0.00021397119272047478
PA 24-250,0.00021397119272047478
AVENTURA II,0.00021397119272047478
7CCM,0.00021397119272047478
280FX,0.00021397119272047478
SA316B,0.00021397119272047478
G-44,0.00021397119272047478
E35,0.00021397119272047478
47G-3B1,0.00021397119272047478
S-1S,0.00021397119272047478
152 II,0.00021397119272047478
AS-350D,0.00021397119272047478
PA 30,0.00021397119272047478
KITFOX II,0.00021397119272047478
301,0.00021397119272047478
727-232,0.00021397119272047478
AA1,0.00020270955099834453
AT-402,0.00020270955099834453
GLASAIR III,0.00020270955099834453
PA-28-201T,0.00020270955099834453
M-4-210C,0.00020270955099834453
47G-5A,0.00020270955099834453
35-A33,0.00020270955099834453
727-223,0.00020270955099834453
600N,0.00020270955099834453
PA-18-180,0.00020270955099834453
YAK 52,0.00020270955099834453
F28,0.00020270955099834453
Glastar,0.00020270955099834453
TB-20,0.00020270955099834453
EA 300/L,0.00020270955099834453
DA20,0.00020270955099834453
PA-60-602P,0.00020270955099834453
RV-3,0.00020270955099834453
24,0.00020270955099834453
400,0.00020270955099834453
F33,0.00020270955099834453
MX7,0.00020270955099834453
RV-7,0.00020270955099834453
600,0.00020270955099834453
BD-5B,0.00020270955099834453
747-200,0.00020270955099834453
185A,0.00020270955099834453
T210K,0.00020270955099834453
650,0.00020270955099834453
MD-80,0.00020270955099834453
PA32RT,0.00020270955099834453
340B,0.00020270955099834453
M5,0.00020270955099834453
205A-1,0.00020270955099834453
SPORTCRUISER,0.00020270955099834453
SGS 1-26E,0.00020270955099834453
SR22T,0.00020270955099834453
421A,0.00020270955099834453
S76,0.00020270955099834453
BE-200,0.00020270955099834453
A-1C-180,0.00020270955099834453
T-28B,0.00020270955099834453
G-164C,0.0001914479092762143
BL-65,0.0001914479092762143
17-31A,0.0001914479092762143
STARDUSTER TOO,0.0001914479092762143
369A,0.0001914479092762143
SA-226TC,0.0001914479092762143
210G,0.0001914479092762143
AL3,0.0001914479092762143
F-19,0.0001914479092762143
U206E,0.0001914479092762143
SA227,0.0001914479092762143
SGS 1-34,0.0001914479092762143
SGS 2-32,0.0001914479092762143
E-90,0.0001914479092762143
310I,0.0001914479092762143
Avid Flyer,0.0001914479092762143
MX-7-235,0.0001914479092762143
T210R,0.0001914479092762143
RV-9A,0.0001914479092762143
AS-350-B2,0.0001914479092762143
B100,0.0001914479092762143
RV 6,0.0001914479092762143
S-1,0.0001914479092762143
LC41-550FG,0.0001914479092762143
A188A,0.0001914479092762143
A319,0.0001914479092762143
LANCAIR 320,0.0001914479092762143
Q-2,0.0001914479092762143
S2R-G10,0.0001914479092762143
R22 Beta II,0.0001914479092762143
M-20C,0.0001914479092762143
ATR-42-300,0.0001914479092762143
AA5A,0.0001914479092762143
500B,0.0001914479092762143
AS350B2,0.00018018626755408404
180D,0.00018018626755408404
PA-18-125,0.00018018626755408404
95-B55 (T42A),0.00018018626755408404
J-2,0.00018018626755408404
2000,0.00018018626755408404
M-5-180C,0.00018018626755408404
SGS 2-33,0.00018018626755408404
A320-232,0.00018018626755408404
25B,0.00018018626755408404
UH12E,0.00018018626755408404
A109,0.00018018626755408404
33,0.00018018626755408404
CCX-2000,0.00018018626755408404
PA-31T1,0.00018018626755408404
47G-3B,0.00018018626755408404
