Air.carrier,proportion
Endeavor Air,0.00018020182604517058
CHANDLER AIR SERVICE INC,0.00018020182604517058
TRANS STATES AIRLINES INC,0.00018020182604517058
Justice Aviation,0.00018020182604517058
CANAM AVIATORS INC,0.00018020182604517058
Hawkeye Helicopter,0.00018020182604517058
FRONTIER AIRLINES INC,0.00018020182604517058
Top Flight Air Service,0.00018020182604517058
(dba: Trans World Airlines),0.00018020182604517058
HIGH EXPOSURE INC,0.00018020182604517058
Not Provided,0.00018020182604517058
SCANDINAVIAN AIRLINES SYSTEM,0.00018020182604517058
AIRLINE TRAINING CENTER ARIZONA INC,0.00018020182604517058
Aerosangay,0.00018020182604517058
Temsco Airlines,0.00018020182604517058
Mountain One Helicopters,0.00018020182604517058
WestJet,0.00018020182604517058
Emirates Airlines,0.00018020182604517058
NETJETS AVIATION INC,0.00018020182604517058
Bird Acquisition LLC,0.00018020182604517058
Webjet,0.00018020182604517058
Zone Aviation,0.00018020182604517058
Aircraft Guaranty Corp Trustee,0.00018020182604517058
Magnicharters,0.00018020182604517058
Century Air,0.00018020182604517058
Cape Smythe Air Service,0.00018020182604517058
US DEPARTMENT OF HOMELAND SECURITY,0.00018020182604517058
POLLUX AVIATION LTD,0.00018020182604517058
Concho Aviation LLC,0.00018020182604517058
Island Air Service,0.00018020182604517058
Scotts Helicopter Services Inc,0.00018020182604517058
GUIDANCE HELICOPTERS INC,0.00018020182604517058
ALLEGIANT AIR LLC,0.00018020182604517058
Soloy Helicopters LLC,0.00018020182604517058
ATLANTIC SOUTHEAST AIRLINES INC,0.00018020182604517058
THOMPSON FLYING SERVICE LLC,0.00018020182604517058
SCOTTS HELICOPTER SERVICE INC,0.00018020182604517058
Chesapeake Sport Pilot,0.00018020182604517058
Summit Aviation LLC,0.00018020182604517058
Florida Flyers,0.00018020182604517058
COASTAL HELICOPTERS INC,0.00018020182604517058
"Veracity Aviation, LLC",0.00018020182604517058
IASCO FLIGHT TRAINING INC,0.00018020182604517058
TREND VECTOR AVIATION INT,0.00018020182604517058
HAWAIIAN AIRLINES INC,0.00018020182604517058
AIR RELDAN INC,0.00018020182604517058
Qatar Airways,0.00018020182604517058
WESTWIND AVIATION INC,0.00018020182604517058
Private Owner,0.00018020182604517058
AVANTAIR INC,0.00018020182604517058
United Airlines Inc.,0.00018020182604517058
Empire Airlines,0.00018020182604517058
Trans States Airlines (dba: Trans World Express),0.00018020182604517058
"Era Aviation, Inc.",0.00018020182604517058
Mauna Kea Helicopters,0.00018020182604517058
Executive Airlines Inc. (dba: American Eagle),0.00018020182604517058
"Markair Express, Inc.",0.00018020182604517058
Mexicana Airlines,0.00018020182604517058
Not reported,0.00018020182604517058
Pilgrim Airlines,0.00018020182604517058
"World Airways, Inc.",0.0001201345506967804
Cook Inlet Aviation,0.0001201345506967804
SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,0.0001201345506967804
Saudi Airlines,0.0001201345506967804
Commonwealth Aviation,0.0001201345506967804
MARLOW AVIATION LLC,0.0001201345506967804
Viva Aerobus,0.0001201345506967804
CLEARVIEW FLYING CLUB INC,0.0001201345506967804
DHL,0.0001201345506967804
AIR WISCONSIN AIRLINES LLC,0.0001201345506967804
Aerokashurko,0.0001201345506967804
JESPERSEN AIRCRAFT SERVICES INC,0.0001201345506967804
WACO TRANSPORT BUSINESS TRUST,0.0001201345506967804
(dba: Panorama Airtour),0.0001201345506967804
Las Vegas Airlines,0.0001201345506967804
"Temsco Helicopters, Inc. (dba: Temsco Airlines)",0.0001201345506967804
Frontier Flying Service Inc.,0.0001201345506967804
"Windy's Mag Air, Inc.",0.0001201345506967804
Crystal Aero Group,0.0001201345506967804
"Southcentral Air, Inc.",0.0001201345506967804
Air Wisconsin Airlines,0.0001201345506967804
Air Sunshine Inc.,0.0001201345506967804
"Markair Express, Inc. (dba: Markair Express)",0.0001201345506967804
"Pan American World Airways, In",0.0001201345506967804
"Western Helicopters, Inc.",0.0001201345506967804
G-DAWG LLC,0.0001201345506967804
SEMPER FI AVIATION LLC,0.0001201345506967804
AERO AG SERVICES INC,0.0001201345506967804
FRESH WATER ADVENTURES INC,0.0001201345506967804
AG AIR INC,0.0001201345506967804
FEJES GUIDE SERVICE LTD,0.0001201345506967804
P J HELICOPTERS INC,0.0001201345506967804
Westwind School of Aeronautics LLC,0.0001201345506967804
Alaska Skyways Inc.,0.0001201345506967804
AIR CANADA,0.0001201345506967804
DEPARTMENT OF HOMELAND SECURITY,0.0001201345506967804
SINGAPORE AIRLINES LTD,0.0001201345506967804
Gull Air,0.0001201345506967804
"Horizon Airlines, Inc.",0.0001201345506967804
APPLEBEE AVIATION INC,0.0001201345506967804
Ponderosa Aviation,0.0001201345506967804
Mauna Loa Helicopters,0.0001201345506967804
SUNDANCE HELICOPTERS INC,0.0001201345506967804
NORTHSHORE GROUP LLC,0.0001201345506967804
"Northwest Airlines, Inc. (dba: Northwest Airlines, Inc.)",0.0001201345506967804
NORTHWEST HELICOPTERS LLC,0.0001201345506967804
MOUNTAIN AIR CARGO INC,0.0001201345506967804
Bell Helicopter Textron Inc.,0.0001201345506967804
UNITED STATES AIR FORCE OWNER,0.0001201345506967804
RICHTER AVIATION INC,0.0001201345506967804
Above Alaska Aviation,0.0001201345506967804
MOORE AVIATION INC,0.0001201345506967804
USDA-APHIS-WS,0.0001201345506967804
AERO QUEST LLC,0.0001201345506967804
VINCENNES UNIVERSITY,0.0001201345506967804
Attitude Aviation,0.0001201345506967804
BMG AVIATION INC,0.0001201345506967804
SOUTHERN ILLINOIS UNIVERSITY BOARD OF TRUSTEES DBA,0.0001201345506967804
Superior Air Charter LLC,0.0001201345506967804
Us Air,0.0001201345506967804
N57AW LLC,0.0001201345506967804
BLUE RIDGE SPORT FLIGHT LLC,0.0001201345506967804
Space Coast Aviation,0.0001201345506967804
WARBELOWS AIR VENTURES INC,0.0001201345506967804
SRB AERIAL APPLICATORS LLC,0.0001201345506967804
GOMES FARM AIR SERVICE INC,0.0001201345506967804
Flybe Ltd,0.0001201345506967804
AERO SAFETY TRAINING LTD,0.0001201345506967804
Regional Express Company,0.0001201345506967804
STURDIVANT BROTHERS FLYING SERVICE INC,0.0001201345506967804
ATP AIRCRAFT 2 LLC,0.0001201345506967804
Egyptair,0.0001201345506967804
WESTERN PILOT SERVICE INC,0.0001201345506967804
EWING FLYING SERVICE LLC,0.0001201345506967804
EASTERN FLYING SERVICE INC,0.0001201345506967804
FARM BROTHERS FLYERS A LLC,0.0001201345506967804
Rampart Aviation,0.0001201345506967804
LEADING EDGE AVIATION INC,0.0001201345506967804
New Century Air Service,0.0001201345506967804
Air Exchange,0.0001201345506967804
"Aar Western Skyways, Inc.",0.0001201345506967804
(dba: Air Wisconsin),0.0001201345506967804
ABERDEEN FLYING SERVICE,0.0001201345506967804
WILSON THOMAS S MD,0.0001201345506967804
United States Air Force,0.0001201345506967804
Westfield Flight Academy,0.0001201345506967804
Chandler Air Services Inc.,0.0001201345506967804
"Hendrickson Flying Service, Inc.",0.0001201345506967804
ALL NIPPON AIRWAYS CO LTD,0.0001201345506967804
Swift Air,0.0001201345506967804
EL AL ISRAEL AIRLINES LTD,0.0001201345506967804
Toll Aviation,0.0001201345506967804
Amelia Reid Aviation LLC,0.0001201345506967804
Embry-Riddle Aeronautical University,0.0001201345506967804
CHEVRON USA INC,0.0001201345506967804
ADVANCED AIR INC,0.0001201345506967804
CUSTOM AIR LLC,0.0001201345506967804
