latitude,longitude
334018N,0011745W
,
464614N,1161125W
405210N,1115536W
391912N,0120822W
044526N,1191723W
030316N,0862611W
031342N,0087231W
364626N,0852219W
029551N,0981820W
044712N,0931536W
028137N,0822043W
573449N,1573419W
594519N,1615043W
611249N,1495040W
552537N,1315034W
055559N,1592924W
445444N,0115298W
395921N,0753518W
037468N,0761826W
033299N,0082452W
435719N,1151621W
451049N,1224436W
485027N,0117172W
374942N,1213733W
182014N,0645824W
335232N,0084187W
582450N,0242819E
333631N,0785836W
335228N,0844435W
011528N,0715413W
412922N,0713714W
384455N,0902212W
041392N,0913415W
455213N,0952216W
432928N,0883226W
044033N,0088331W
046137N,1235528W
273933N,0080258W
394220N,0075159W
026316N,0080230W
332559N,0885055W
035027N,0831237W
293828N,0081415W
034211N,0085917W
342247N,1024313W
355732N,0911011W
035129N,0106145W
048938N,0122932W
,
385529N,0855430W
004738N,1211332W
043469N,0087518W
422410N,0882230W
041359N,0882135W
362212N,0094612W
302837N,0912320W
331220N,0971150W
035460N,1151947W
372518N,0121642W
045300N,0111300W
611046N,0149590W
613454N,1593235W
065426N,1643956W
006140N,0151370W
034450N,0086284W
341252N,0011902W
435948N,0883255W
335219N,1175847W
491235N,1224222W
611249N,1495040W
,
062200N,0150120W
061210N,0150500W
041568N,1112318W
058470N,0073214E
043611N,0784212W
332144N,0843418W
,
363946N,1213622W
005055N,0065658E
040036N,0105252W
291240N,0994436W
035318N,0091490W
354353N,0952051W
411819N,0955338W
033259N,0971356W
045149N,0093598W
452810N,0089282W
573922N,1351950W
335425N,1173613W
452224N,0954043W
412359N,0884738W
423746N,0835856W
411948N,1203241W
352710N,1192033W
464037N,1225858W
033923N,0962854W
037573N,0109198W
364111N,0934214W
034317N,1092243W
472555N,1223253W
461820N,1191815W
364937N,0881150W
033227S,0070344W
402242N,0755754W
031754N,0084736W
405451N,0123159W
004339N,0834817W
,
401322N,0832142W
344443N,0873637W
253331N,0803054W
391616N,1195953W
040455N,0075038W
041326N,0873146W
415922N,0008864W
039539N,0901848W
040730N,0761815W
034123N,1191226W
421242N,0881938W
442054N,0895927W
004087N,0091034W
374942N,1213733W
046361N,0111587W
431010N,0884314W
385623N,0763413W
425953N,0741946W
045055N,0084238W
425713N,0852036W
040293N,0087308W
345928N,0785249W
475644N,0923728W
435958N,1021516W
423447N,0824837W
345256N,0095470W
433513N,1162735W
037378N,1222229W
334842N,0784326W
263253N,0801253W
402235N,0793630W
,
042129N,0071834W
392716N,1055552W
034746N,1091839W
032181N,0862323W
004470N,0724922W
271224N,0814831W
,
295720N,0812014W
443442N,0068130W
394210N,1044510W
322653N,0089424W
342540N,0893711W
413930N,0010987W
415817N,0735146W
431926N,0076239W
027215N,0802628W
611234N,1495135W
043597N,0883342W
465535N,0097327W
395251N,0832624W
045412N,0924114W
411657N,0914040W
045292N,0875837W
415643N,0885526W
445450N,0097917W
422722N,0915725W
361149N,1151057W
595739N,1625253W
047454N,0122169W
005895N,1343019W
